地名,緯度,経度
伊吾盧,42.93589,92.906758
伊循城（ミーラン）,39.351144,88.808608
尉犁,41.65,86.133333
烏秅,36.333,74.666
烏貪訾離,44.30221,86.222789
于闐,37.1,79.774
扜弥,37.774444,81.073056
烏塁,41.988695,84.896778
焉耆,42.016667,86.55
温宿,41.213889,79.223056
危須,42.271666,87.115703
亀茲,41.715556,82.932222
休循,39.73,73.25
玉門関,40.3535,93.864028
金満城,43.98225,89.151448
縣度,35.921944,74.289167
高昌壁,42.852778,89.529167
拘弥（ダンダンウィリク）,37.774444,81.073056
姑墨,41.166667,80.25
莎車,38.416667,77.25
婼羌,38.393217,90.159757
子合,37.885,77.413056
車師後国,43.928187,89.122884
車師前国（交河城）,42.950556,89.063889
且末,38.134444,85.530278
精絶,37.966667,82.716667
赤谷城,41.604633,78.280144
鄯善（扜泥城 ）,39.018056,88.168056
疏勒,39.466667,75.983333
它乾城,41.494178,82.407684
敦煌,40.15,94.666667
莫高窟,40.037222,94.804167
皮山,37.616667,78.3
蒲昌海 ,40.166667,90.583333
蒲犁,37.772778,75.224444
蒲犁谷,37.772778,75.224444
蒲類海,43.6711,92.8022
陽関,39.92725,94.059028
柳中,42.74396,89.75759
輪台,41.766667,84.166667
楼蘭,40.527633,89.840644
小河墓地,40.336203,88.671538
アスターナ,42.882,89.527
ウズンタティ,37.280888,80.948166
キジル千仏洞,41.783333,82.5
クムトラ千仏洞,41.7,82.683333
ベゼクリク千仏洞,42.955833,89.539444
ミーランＢ,39.25,88.8167
ラワク寺院,37.346,80.1635
