idx,Symbol,Company,Section,PF
0001,1301,（株）極洋,プライム,
0002,1332,（株）ニッスイ,プライム,
0003,1333,Ｕｍｉｏｓ（株）,プライム,
0004,135A,（株）ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース,
0005,1377,（株）サカタのタネ,プライム,
0006,1379,ホクト（株）,プライム,
0007,1407,（株）ウエストホールディングス,スタンダード,
0008,1414,ショーボンドホールディングス（株）,プライム,
0009,1417,（株）ミライト・ワン,プライム,
0010,1418,インターライフホールディングス（株）,スタンダード,
0011,1419,タマホーム（株）,プライム,
0012,141A,（株）トライアルホールディングス,グロース,
0013,1420,サンヨーホームズ（株）,スタンダード,
0014,1429,（株）日本アクア,プライム,
0015,1430,ファーストコーポレーション（株）,スタンダード,
0016,1431,（株）Ｌｉｂ　Ｗｏｒｋ,グロース,
0017,1433,ベステラ（株）,プライム,
0018,1434,ＪＥＳＣＯホールディングス（株）,スタンダード,
0019,1446,（株）キャンディル,スタンダード,
0020,147A,（株）ソラコム,グロース,
0021,1514,住石ホールディングス（株）,スタンダード,
0022,1515,日鉄鉱業（株）,プライム,
0023,1518,三井松島ホールディングス（株）,プライム,
0024,153A,（株）カウリス,グロース,
0025,155A,（株）情報戦略テクノロジー,グロース,
0026,156A,マテリアルグループ（株）,グロース,
0027,1605,（株）ＩＮＰＥＸ,プライム,
0028,1662,石油資源開発（株）,プライム,
0029,1663,Ｋ＆Ｏエナジーグループ（株）,プライム,
0030,166A,（株）タスキホールディングス,グロース,
0031,167A,リョーサン菱洋ホールディングス（株）,プライム,
0032,1716,第一カッター興業（株）,スタンダード,
0033,1719,（株）安藤・間,プライム,y
0034,1720,東急建設（株）,プライム,
0035,1721,コムシスホールディングス（株）,プライム,
0036,1762,（株）高松コンストラクショングループ,プライム,
0037,1766,東建コーポレーション（株）,プライム,
0038,1768,（株）ソネック,スタンダード,
0039,1780,（株）ヤマウラ,プライム,
0040,1786,オリエンタル白石（株）,プライム,
0041,1799,第一建設工業（株）,スタンダード,
0042,1801,大成建設（株）,プライム,
0043,1802,（株）大林組,プライム,
0044,1803,清水建設（株）,プライム,
0045,1808,（株）長谷工コーポレーション,プライム,
0046,1810,松井建設（株）,スタンダード,
0047,1811,（株）錢高組,スタンダード,
0048,1812,鹿島建設（株）,プライム,
0049,1813,（株）不動テトラ,プライム,
0050,1814,大末建設（株）,プライム,
0051,1815,鉄建建設（株）,プライム,
0052,1820,西松建設（株）,プライム,y
0053,1822,大豊建設（株）,スタンダード,
0054,1826,佐田建設（株）,スタンダード,
0055,1827,（株）ナカノフドー建設,スタンダード,
0056,1833,（株）奥村組,プライム,
0057,1835,東鉄工業（株）,プライム,
0058,1840,（株）土屋ホールディングス,スタンダード,
0059,1848,（株）富士ピー・エス,スタンダード,
0060,1852,（株）淺沼組,プライム,
0061,1860,戸田建設（株）,プライム,
0062,1861,（株）熊谷組,プライム,
0063,1866,北野建設（株）,スタンダード,
0064,1867,（株）植木組,スタンダード,
0065,186A,（株）アストロスケールホールディングス,グロース,
0066,1870,矢作建設工業（株）,プライム,
0067,1871,ピーエス・コンストラクション（株）,プライム,
0068,1878,大東建託（株）,プライム,
0069,1879,新日本建設（株）,プライム,
0070,1882,東亜道路工業（株）,プライム,
0071,1885,東亜建設工業（株）,プライム,
0072,1887,日本国土開発（株）,プライム,
0073,1888,若築建設（株）,プライム,
0074,1893,五洋建設（株）,プライム,
0075,1898,世紀東急工業（株）,プライム,
0076,1899,（株）福田組,プライム,
0077,1904,大成温調（株）,スタンダード,
0078,1909,日本ドライケミカル（株）,スタンダード,
0079,1911,住友林業（株）,プライム,
0080,1914,日本基礎技術（株）,スタンダード,
0081,1921,（株）巴コーポレーション,スタンダード,
