陵墓,読み,別名,緯度,経度,被葬者,形状,規模
神武天皇陵,じんむてんのうりょう,四条ミサンザイ・畝傍山東北陵,34.4975,135.787917,,円丘,
綏靖天皇陵,すいぜいてんのうりょう,桃花鳥田丘上陵,34.500753,135.789347,,円丘,
安寧天皇陵,あんねいてんのうりょう,畝傍山西南御陰井上陵,34.490222,135.777225,,山形,
懿徳天皇陵,いとくてんのうりょう,畝傍山南繊沙渓上陵,34.4889,135.781786,,山形,
孝昭天皇陵,こうしょうてんのうりょう,掖上博多山上陵,34.457739,135.730969,,山形,
孝安天皇陵,こうあんてんのうりょう,玉手丘上陵,34.455156,135.749114,,山形,
孝霊天皇陵,こうれいてんのうりょう,片丘馬坂陵,34.5896,135.701719,,山形,
孝元天皇陵,こうげんてんのうりょう,剱池嶋上陵,34.48115,135.803292,,前方後円墳,
開化天皇陵,かいかてんのうりょう,念仏寺山古墳・春日率川坂上陵,34.683469,135.824011,,前方後円墳,100m
崇神天皇陵,すじんてんのうりょう,行燈山古墳・山辺道勾岡上陵,34.5575,135.8493,,前方後円墳,242m
垂仁天皇陵,すいにんてんのうりょう,宝来山古墳・菅原伏見東陵,34.679961,135.781219,,前方後円墳,227m
景行天皇陵,けいこうてんのうりょう,渋谷向山古墳・山辺道上陵,34.550833,135.848967,,前方後円墳,300m
成務天皇陵,せいむてんのうりょうｖ,佐紀石塚山古墳・狭城盾列池後陵,34.700136,135.787403,,前方後円墳,218m
仲哀天皇陵,ちゅうあいてんのうりょう,岡ミサンザイ古墳・恵我長野西陵,34.565375,135.594056,,前方後円墳,245m
応神天皇陵,おうじんてんのうりょう,誉田御廟山古墳・惠我藻伏崗陵,34.562603,135.609211,,前方後円墳,425m
仁徳天皇陵,にんとくてんのうりょう,大仙陵古墳・百舌鳥耳原中陵,34.563931,135.487308,,前方後円墳,525m
履中天皇陵,りちゅうてんのうりょう,上石津ミサンザイ古墳・百舌鳥耳原南陵,34.554028,135.4775,,前方後円墳,365m
反正天皇陵,はんぜいてんのうりょう,田出井山古墳・百舌鳥耳原北陵,34.575736,135.488419,,前方後円墳,128m
允恭天皇陵,いんぎょうてんのうりょう,市ノ山古墳・惠我長野北陵,34.573867,135.61655,,前方後円墳,227m
安康天皇陵,あんこうてんのうりょう,菅原伏見西陵,34.68398,135.76911,,方墳,
雄略天皇陵,ゆうりゃくてんのうりょう,島泉丸山古墳・丹比高鷲原陵,34.576097,135.586569,,円墳,75m
清寧天皇陵,せいねいてんのうりょう,白髪山古墳・河内坂門原陵,34.548844,135.600375,,前方後円墳,115m
顕宗天皇陵,けんぞうてんのうりょう,傍丘磐坏丘南陵,34.55072,135.70043,,前方後円墳,
仁賢天皇陵,にんけんてんのうりょう,野中ボケ山古墳・埴生坂本陵,34.55643,135.5965,,,
武烈天皇陵,ぶれつてんのうりょう,傍丘磐坏丘北陵,34.562,135.69635,,山形,
継体天皇陵,けいたいてんのうりょう,太田茶臼山古墳・三嶋藍野陵,34.844583,135.578433,,前方後円墳,226m
安閑天皇陵,あんかんてんのうりょう,高屋築山古墳・古市高屋丘陵,34.548889,135.609617,,前方後円墳,122m
宣化天皇陵,せんかてんのうりょう,鳥屋ミサンザイ古墳・身狭桃花鳥坂上陵,34.478253,135.779953,,前方後円墳,130m
欽明天皇陵,きんめいてんのうりょう,梅山古墳・檜隈坂合陵,34.468717,135.800778,,前方後円墳,140m
敏達天皇陵,びだつてんのうりょう,太子西山古墳・河内磯長中尾陵,34.511833,135.635486,,前方後円墳,113m
用明天皇陵,ようめいてんのうりょう,春日向山古墳・河内磯長原陵,34.516786,135.644203,,方墳,65x60m
崇峻天皇陵,すしゅんてんのうりょう,倉梯岡上陵,34.4903,135.8604,,円丘,
推古天皇陵,すいこてんのうりょう,山田高塚古墳・磯長山田陵,34.511897,135.649567,,方墳,59x55m
舒明天皇陵,じょめいてんのうりょう,段ノ塚古墳・押坂内陵,34.507697,135.875672,,八角墳,42m
孝徳天皇陵,こうとくてんのうりょう,山田上ノ山古墳・大阪磯長陵,34.517539,135.6544,,円墳,32m
斉明天皇陵,さいめいてんのうりょう,牽牛子塚古墳,34.45787,135.76807,,八角墳,22m
天智天皇陵,てんぢてんのうりょう,御廟野古墳・山科陵,34.997475,135.806997,,八角墳,46m
弘文天皇陵,こうぶんてんのうりょう,園城寺亀丘古墳・長等山前陵,35.01837,135.85391,,円丘,
天武・持統天皇陵,てんむ・じとうてんのうりょう,野口王墓・檜隈大内陵,34.468756,135.807825,,八角墳,58m
文武天皇陵,もんむてんのうりょう,栗原塚穴古墳・檜隈安古岡上陵,34.460593,135.807288,,山形,
元明天皇陵,げんめいてんのうりょう,奈保山東陵,34.704917,135.829755,,山形,
元正天皇陵,げんしょうてんのうりょう,奈保山西陵,34.705694,135.82604,,山形,
聖武天皇陵,しょうむてんのうりょう,佐保山南陵,34.6939,135.82956,,山形,
称徳天皇陵,しょうとくてんのうりょう,佐紀高塚古墳・高野陵,34.698333,135.787514,,前方後円墳,127m
神功皇后陵,じんぐうこうごうりょう,五社神古墳・狭城盾列池上陵,34.706225,135.785339,仲哀皇后気長足姫尊,前方後円墳,267m
箸墓古墳,はしはかこふん,大市墓,34.539261,135.841228,卑弥呼？・倭迹迹日百襲姫命？,前方後円墳,278m
聖徳太子墓,しょうとくたいしぼ,叡福寺北古墳・磯長墓,34.519786,135.639272,,円墳,43x53m
河内大塚山古墳,かわちおおつかやまこふん,,34.572542,135.567853,雄略天皇？,前方後円墳,335m
石舞台古墳,いしぶたいこふん,,34.466789,135.82615,蘇我馬子,不明,
日葉酢媛命陵,ひばすひめのみことりょう,佐紀陵山古墳・狭木之寺間陵,34.699656,135.789064,垂仁皇后日葉酢媛命,前方後円墳,207m
仲ツ山古墳,なかつやまこふん,仲津山陵,34.570067,135.612389,応神皇后仲姫命？,前方後円墳,290m
ヒシアゲ古墳,ひしあげこふん,平城坂上陵,34.701314,135.802689,仁徳皇后磐之媛命？,前方後円墳,219m
ウワナベ古墳,うわなべこふん,,34.697625,135.809019,仁徳皇后八田皇女？,前方後円墳,280m
コナベ古墳,こなべこふん,小奈辺陵墓参考地,34.697692,135.804717,仁徳皇后磐之媛命？,前方後円墳,204m
墓山古墳,はかやまこふん,,34.557533,135.604044,,前方後円墳,225m
白鳥陵古墳,しらとりりょうこふん,軽里大塚古墳,34.551278,135.603828,日本武尊？,前方後円墳,190m
はざみ山古墳,はざみやまこふん,,34.561667,135.602222,,前方後円墳,103m
蕃上山古墳,ばんじょうやまこふん,,34.563361,135.603444,,前方後円墳,53m
野中宮山古墳,のなかみややまこふん,,34.56025,135.602361,,前方後円墳,154m
野中古墳,のなかこふん,,34.5589736,135.6044343,,方墳,37x37m
青山古墳,あおやまこふん,,34.55581,135.60042,,円墳,62m
永山古墳,ながやまこふん,,34.568333,135.486944,王仁？・日本武尊？,前方後円墳,100m
丸保山古墳,まるほやまこふん,,34.567194,135.4855,,前方後円墳,87m
いたすけ古墳,いたすけこふん,,34.55325,135.485511,,前方後円墳,146m
御廟山古墳,ごびょうやまこふん,,34.554867,135.490475,,前方後円墳,203m
土師ニサンザイ古墳,はぜにさんざいこふん,,34.546919,135.498547,反正天皇？,前方後円墳,290m
築山古墳,つきやまこふん,磐園陵墓参考地,34.523375,135.731647,顕宗天皇？,前方後円墳,210m
丸山古墳,まるやまこふん,畝傍陵墓参考地,34.475867,135.798328,天武・持統天皇？,前方後円墳,318m
赤坂天王山古墳,あかさかてんのうざんこふん,,34.500417,135.874583,崇峻天皇？,方墳,50x46m
室宮山古墳,むろみややまこふん,室大墓,34.442839,135.733333,葛城襲津彦？・武内宿禰？,前方後円墳,238m
帝塚山古墳,てづかやまこふん,,34.621558,135.496828,大伴金村？,前方後円墳,88m
都塚古墳,みやこづかこふん,金鳥塚古墳,34.463636,135.827694,蘇我稲目？,方墳,41x42m
高松塚古墳,たかまつづかこふん,,34.462222,135.806472,天武皇子忍壁皇子他,二段円墳,23m
キトラ古墳,きとらこふん,亀虎古墳,34.45125,135.805278,阿部御主人？,二段円墳,13.8m
