"code","市場","貸借","優待月","銘柄名
優待内容","銘柄名","優待内容","現在値","単元","必要資金","優待金額換算","優待利回り"
1379,"東P","貸借","3月末日","ホクト
自社グループ製品詰合せ、ギフトカード","ホクト","自社グループ製品詰合せ、ギフトカード",1826,100,182600,1500,0.76
1383,"東S","制度","4月末日","ベルグアース
QUOカード、メロン等","ベルグアース
","QUOカード、メロン等",2870,100,287000,4000,0.34
1384,"東S","制度","3月末日","ホクリヨウ
たまごギフト券","ホクリヨウ
","たまごギフト券",2648,100,264800,500,0.18
1417,"東P","貸借","3月末日","ミライト・ワン
QUOカード、電子マネー、お米、寄付","ミライト・ワン
","QUOカード、電子マネー、お米、寄付",4022,100,402200,1000,"---"
1419,"東P","貸借","11月末日","タマホーム
オリジナルQUOカード","タマホーム
","オリジナルQUOカード",3540,100,354000,500,0.56
1420,"東S","貸借","3月末日","サンヨーホームズ
QUOカード","サンヨーホームズ
","QUOカード",618,100,61800,1000,1.61
1430,"東S","貸借","11月末日","ファーストコーポレー...
QUOカード","ファーストコーポレー...
","QUOカード",1095,100,547500,2000,"---"
1431,"東G","貸借","6月末日・3月末日・9月末日・12月末日","ＬｉｂＷｏｒｋ
QUOカード、割引券、優待ポイント、暗号資産","ＬｉｂＷｏｒｋ
","QUOカード、割引券、優待ポイント、暗号資産",650,100,65000,"---",1.54
1438,"東S","制度","9月末日","岐阜造園
QUOカード","岐阜造園
","QUOカード",1860,100,372000,1000,0.26
1446,"東S","貸借","3月末日","キャンディル
QUOカード","キャンディル
","QUOカード",523,100,104600,3000,2.88
1605,"東P","貸借","12月末日","ＩＮＰＥＸ
QUOカード、施設見学会","ＩＮＰＥＸ
","QUOカード、施設見学会",4118,100,411800,1000,"---"
1738,,"制度","3月末日","ＮＩＴＴＯＨ
全国共通おこめ券","ＮＩＴＴＯＨ
","全国共通おこめ券",605,100,605000,2200,0.36
1768,"東S","貸借","9月末日","ソネック
QUOカード","ソネック
","QUOカード",1347,100,134700,1000,0.73
1771,,"制度","9月末日","日本乾溜工業
QUOカード","日本乾溜工業
","QUOカード",987,100,987000,3000,0.29
1788,"東S","制度","6月末日","三東工業社
QUOカード","三東工業社
","QUOカード",4640,100,464000,1500,0.31
1822,"東S","貸借","3月末日・9月末日","大豊建設
QUOカード","大豊建設
","QUOカード",745,100,74500,500,1.34
1828,"東S","制度","3月末日・9月末日","田辺工業
QUOカード","田辺工業
","QUOカード",2526,100,252600,500,0.38
1848,"東S","貸借","9月末日","富士ピー・エス
QUOカード","富士ピー・エス
","QUOカード",572,100,57200,500,0.87
1867,"東S","貸借","9月末日","植木組
QUOカード","植木組
","QUOカード",2688,100,268800,500,0.19
1899,"東P","貸借","12月末日","福田組
オリジナルQUOカード","福田組
","オリジナルQUOカード",8430,100,1686000,2000,0.11
